split,index,root_id,role,active_fraction,mean,eta_squared,class0_mean,class1_mean,class2_mean
validation,30,720575940624832743,internal,1.0,4.831576270630231,0.11491332213630173,4.165762143135071,5.906162697441724,4.436392014732166
validation,31,720575940616197819,internal,0.9594594594594594,4.807524245735761,0.02361589418646383,4.265632247924804,5.180561852698424,4.987437656947544
validation,32,720575940619059102,internal,0.8513513513513513,3.545131490037248,0.06916514688039802,3.314771330356598,2.9638371102663936,4.361487257237337
validation,33,720575940630225403,internal,1.0,5.5723184028992785,0.21993132120940023,4.371695671081543,7.385712341386444,4.984049700960821
validation,34,720575940628822248,internal,1.0,5.401822091759862,0.4425788804162777,3.795601117610931,8.314298435133331,4.128346742415915
validation,35,720575940619078091,internal,0.918918918918919,2.449396618214008,5.2499582132464954e-05,2.461430876255035,2.451040950964908,2.4354724303192024
validation,36,720575940633741229,internal,0.0,0.0,0.0,0.0,0.0,0.0
validation,37,720575940628420264,internal,0.0,0.0,0.0,0.0,0.0,0.0
validation,38,720575940606722249,internal,1.0,6.294929137906513,0.10894377191123979,5.2439023303985595,7.536314536114128,6.126020073890686
validation,39,720575940622650879,internal,1.0,8.55575688908229,0.37068194277867483,6.672896056175232,12.335167145242496,6.6976331971129595
validation,40,720575940632505359,internal,0.9459459459459459,4.116271045058966,0.0840661086653399,4.891619615554809,3.9789603300848784,3.462409749323008
validation,41,720575940625977802,internal,1.0,4.751686639479689,0.0998140408171336,4.881348886489868,5.492172224181039,3.878892639461829
validation,42,720575940624330281,internal,1.0,8.478928076254356,0.43312540105841546,5.7656041431427,12.179827709587252,7.5467263338517165
validation,43,720575940627349860,internal,1.0,6.803693599797584,0.33942109485302124,5.080244197845459,8.734271351172,6.631737687149826
validation,44,720575940621542747,internal,0.4391891891891892,0.11931234739116721,0.11853720579253008,0.04416971489787102,0.11191448143550328,0.20338636895223539
validation,45,720575940640415859,internal,1.0,6.097894920690639,0.25165371990689467,4.630149178504944,8.283906878257284,5.409582700048174
validation,46,720575940640986075,internal,1.0,3.6983540912435666,0.0477225302353492,3.396631634235382,4.306394850873217,3.398193389785533
validation,47,720575940651758838,internal,1.0,5.635109668043819,0.43915125830244905,3.9334242820739744,8.38875473762045,4.617878257620092
validation,48,720575940631683927,internal,0.8445945945945946,2.1086053859845206,0.04939041077417627,2.529943513870239,2.0101237491685517,1.777150157610981
validation,49,720575940629792732,internal,1.0,9.080131649568274,0.1897047955910592,7.881080503463745,11.578985681339185,7.804799195455045
validation,50,720575940634303132,internal,0.9459459459459459,5.182604004905836,0.07652124075521316,5.774667720794678,5.721159799062476,4.039901561883031
validation,51,720575940616486230,internal,0.38513513513513514,0.20682271439078692,0.2770921412977599,0.2316320887207985,0.0,0.3883297406897253
validation,52,720575940615513086,internal,0.9459459459459459,3.225229417150085,0.09787389732572221,2.625056324005127,4.073945675577436,2.9889346823400382
